Codigo	Descricao	Descrição Inglês
16010085	SVC 15.06 EMISSAO REEMISSAO E FORNECIMENTO DE AVISOS, COMPR	
16010058	SVC 16.01 SERVICOS DE TRANSPORTE DE NATUREZA MUNICIPAL COMPR	
16010012	SVC 16.02 OUTROS TRANSPORTES	
16010009	SVC 17.01 ASSESSORIA OU CONSULTORIA	
16010007	SVC 17.01 FORNECIMENTO DE DADOS	
16010015	SVC 17.02 SECRETARIA EM GERAL, SERVICO ADM	
16010005	SVC 17.05 FORNECIMENTO MAO DE OBRA	
16010073	SVC 17.06 PROPAGANDA E PUBLICIDADE, INCLUSIVE PROMOCAO DE VE	
16010038	SVC 17.09 PERICIAS, LAUDOS, EXAMES TECNICOS	
16010051	SVC 17.11 ORGANIZACAO DE FESTAS E RECEPCOES; BUFE	
16010036	SVC 17.14 ADVOCACIA	
16010057	SVC 17.18 CONTABILIDADE, INCLUSIVE SERVICOS TECNICOS E AUXIL	
16010039	SVC 17.19 CONTABILIDADE, INCLUSIVE SVC TECNICOS E AUXILIARES	
16010010	SVC 20.01 PORTUARIOS E FERROPORTUARIOS	
16010046	SVC 20.02 – SERVICS AEROPORTUAOS, UTILIZACADE AEROPORTO	
16010075	SVC 24.01 SERVICOS DE CHAVEIRO, CONFECCAO DE CARIMBOS,PLACAS	
16010014	SVC 3.04 ESPORTE E LAZER	
16010063	SVC 31.01 SERVICOS TECNICOS EM EDIFICACOES  E CONGENERES	
16010076	SVC 31.01.03 SERVICOS TECNICOS EM MECANICA E CONGENERES	
16010081	SVC 31.01.04 SERVICOS TECNICOS EM TELECOMUNICACOES E CONGENE	
16010003	SVC 33.01 ADUANEIRO, DESPACHANTES E CONGENERES	
16010030	SVC 33.01 TORNO E SOLDA	
16010008	SVC 4.01 MEDICINA E BIOMEDICINA	
16010016	SVC 7.09 VARRICAO, COLETA, REMOCAO, INCINERACAO	
16010066	SVC 7.13 CONTROLE DE PRAGAS (DEDETIZACAO)	
16010037	SVC 8.02 INSTRUCAO, TREINAMENTO	
16010019	SVC ALUGUEL DE CADEIRAS E MESAS	
16020001	SVC BT LOCACAO BOMBA P1	
16020003	SVC BT LOCACAO BOMBA P2	
16020002	SVC BT LOCACAO BOMBA SC	
16010028	SVC CARGA E DESCARGA	
16010025	SVC DIVERSOS DOC INTERNO	
16010004	SVC DIVERSOS ISS SN	
16010002	SVC ENERGIA ELETRICA CST00	
16010034	SVC FORNECIDMENTO ENERGIA ELETRICA	
16010060	SVC FRETE	
16010033	SVC INTERNET	
16010018	SVC LANTERNAGEM E PINTURA EM GERAL	
16010026	SVC MANUTENCAO EMPILHADEIRAS	
16010031	SVC PRESTACAO INDUSTRIALIZACAO	
16010043	SVC RECARGA EXTINTOR PO	
16010029	SVC REPROGRAMAÇÃO DO MODULO MOTOR	
16010082	SVC SEGUROS DIVERSOS	
16010027	SVC SENSOR PEDAL HOMEM MORTO	
16010042	SVC SERVICO DE SEPARACAO, MANUTENCAO REFORMA BIG BAG	
16010041	SVC TELECOMUNICACAO	
16010017	SVC TRANSPORTE COMPRA DE PRODUCAO C/ICMS	
16010020	SVC TRANSPORTE COMPRA DE PRODUCAO S/ICMS	
16010023	SVC TRANSPORTE COMPRA USO E CONSUMO IND	
16010021	SVC TRANSPORTE VENDA DE PRODUCAO C/ICMS	
16010022	SVC TRANSPORTE VENDA DE PRODUCAO S/ICMS	
11401391010	SWINGING LEVER ASSEMBLY	
11401391010	SWINGING LEVER ASSEMBLY (NEW)	SWINGING LEVER ASSEMBLY (NEW)
12470311284	SWIVEL FLANGE SNCS-40 FD #174384	SWIVEL FLANGE SNCS-40 FD #174384
27	TACHA DE QUADRO DOURADA CX C/100	
5000976	TALABARTE	
	TALHA MANUAL 0,75	
	TALHA MANUAL ALAVANCA 0,75 TONX1,5MT C8M	
	TALHA MANUAL C/CORRENTE 1,0TX3,0M BA 1TX3M	
	TALHA MECANICA MANUAL	
	TALHADEIRA 20MM	
	TAMBOR FREIO	
11130836400	TAMPA (DIAMETRO 30X230 COM FLANGE LATERAL	COVER (DIA 30X230 WITH SIDE FLANGE)
	TAMPA 1 POSTO REDONDO 3/4" S/PINTURA	
	TAMPA 2 POSTOS JUNTOS CINZA ESCURO	
5612	TAMPA 9-4	
	TAMPA COND 3/4 DE TECLA NR-03 S/PINTURA	
11130516800	TAMPA DE PIVÔ 62	PIVOT CAP-62
11130812090	TAMPA DE PRESSÃO	PRESSURE COVER 
11130863850	TAMPA DE ROLAMENTO	BEARING COVER 
11214249000	TAMPA DE ROLAMENTO DIANTEIRO	BEARING COVER (FRONT)
11158510800	TAMPA DE ROLAMENTO SHUTTLE - SN	SHUTTLE ROLLER CAP - SN
	TAMPA DE VASO	
11408807000	TAMPA DO PIVÔ	PIVOT CAP-28
11130515220	TAMPA DO ROLO	ROLLER CAP
	TAMPA LATERAL PAINEL 150X40 TL-CPD	
6930	TAMPA PROTETORA FRONTAL GK8 8-1	
11130850700	TAMPA ROLO EMPURRADOR	COVER - PUSHER ROLLER
	TAMPÃO	
11147253490	TAPE GUIDE SENSOR LOFIL 40/NG AW	
	TE 90 FG 2 BSP	
	TE 90 FG 4 BSP-Z	
	TE 90 SOLD 25MM	
	TE 90 SOLDAVEL 32MM	
	TE AZUL SD C/ROSCA 25X1/2	
	TE FG 90º 3" TUPY	
	TE P/ESGOTO 100X100MM	
	TE PVC ESG. DN 100	
	TE PVC SD 20MM	
	TE PVC SD 32MM	
	TE PVC SOLDAVEL 25MM	
	TE SD 25MM	
	TE UNIÃO 10MM	
	TE UNIÃO PU 10	
	TE UNIÃO PU 12	
	TE UNIÃO PU 4	
	TE UNIÃO PU 6	
	TE UNIÃO PU 8	
12470310030	TECIDO EMBURRACHADO	SYN. RUBBERISED FABRIC K-11/2.0 50MM
	TELA SOLD NERV Q138 10X10X4,2 PAINEL 2,45X6M	
	TELA SOLD NERV Q138 10X10X4,2 PAINEL 2,45X6M(32,3)	
	TELHA GALVALUME TRAP 1070X0,43MM	
14470200002	TEMP SENSOR W 3M CABLE PT100 3WIRE	
14470400009	TEMP SENSOR W CAB "J" TYPE, 2 WIRE	TEMP SENSOR W CAB "J" TYPE, 2 WIRE
14470000000	TEMP SENSOR W CAB PT100 2WIRE	TEMP SENSOR W CAB PT100 2WIRE
14470400009	TEMPERATURE SENSOR J TYPE T/C 	TEMPERATURE SENSOR J TYPE T/C 
11305755000	TENSION ARM FOR DIA 2.5 WIRE SPRING	
11305755000	TENSION ARM FOR DIA 2.5 WIRE SPRING 	TENSION ARM FOR DIA 2.5 WIRE SPRING 
11131011310	TENSION BOLT DULY ZN PLATED	
11157067300	TENSION KNOB FOR WIRE D2.5MM	
11405099000	TENSION PAD FELT - N	
11141102600	TENSION PAD WITH BUSH-P	TENSION PAD WITH BUSH-P
11408089000	TENSION PAD-XR	
11409208000	TENSION SPRING	
11409208000	TENSION SPRING  	TENSION SPRING  
11406443000	TENSION SPRING D0,7/D10,5	
11409208000	TENSION SPRING WEFT GUIDE HS	
	TENSOR	
	TENSOR CORREIA DENTADA MORTOR	
11130870950	TENSOR M5 PRATO ALUMINIO	
	TENSOR POLIA FIXO CORREIA MOTOR	
	TERMINAL A COMPRESSAO 1F 1C TM-185MM M12	
5003947	TERMINAL DE COMPRESSÃO 10MM	
5002213	TERMINAL DE COMPRESSÃO 120MM	
5003952	TERMINAL DE COMPRESSÃO 16MM	
5002214	TERMINAL DE COMPRESSÃO 185MM	
5002215	TERMINAL DE COMPRESSÃO 240MM	
5002216	TERMINAL DE COMPRESSÃO 25MM	
5002220	TERMINAL DE COMPRESSÃO 35MM	
5002000	TERMINAL DE COMPRESSÃO 50MM	
5001747	TERMINAL DE COMPRESSÃO 70MM	
5002223	TERMINAL DE COMPRESSÃO 95MM	
	TERMINAL OLHAL	
	TERMINAL OLHAL 2,5MM	
	TERMINAL OLHAL 4MM	
	TERMINAL OVAL	
	TERMINAL PRE-ISOL. GARFO 1,5-2,5MM	
	TERMINAL TIPO GARFO 1,25-5MM	
	TERMINAL TIPO GARFO 4 - 6,00MM	
5003913	TERMINAL TIPO OLHAL PRÉ-ISOLADO  1,5 - 2,5MM	TERMINAL TIPO OLHAL PRÉ-ISOLADO  1,5 - 2,5MM
5003913	TERMINAL TIPO OLHAL PRÉ-ISOLADO 1,5 - 2,5MM	
	TERMINAL TIPO OLHAL PRE-ISOLADO 4 - 6MM	
	TERMINAL TIPO PINO TUBULAR 16MM AZUL	
	TERMINAL TIPO PINO TUBULAR SIMPLES 0,5MM	
	TERMINAL TIPO PINO TUBULAR SIMPLES 0,75MM	
	TERMINAL TIPO PINO TUBULAR SIMPLES 1,5MM	
	TERMINAL TIPO PINO TUBULAR SIMPLES 1MM	
	TERMINAL TIPO PINO TUBULAR SIMPLES 4MM	
	TERMINAL TUBOLAR 1,85MM	
	TERMINAL TUBOLAR 4MM	
	TERMINAL TUBULAR	
5001412	TESOURA 21CM	
	TESOURA 21CM TRAMONTINA	
	TESOURA 21CM VMP PLANETA	
	TESOURA DE ESCRITORIO 19,5 CM	
	TESOURA DE ESCRITORIO 19,5CM JOCAR	
	TESOURA DE ESCRITÓRIO 19,5CM JOCAR	
5001412	TESOURA DE ESCRITORIO 21 CM	
5003332	TESOURA ESCOLAR 13 CM	
11130860580	TG WITH BEARING	
11157903400	TG WITH CERAMIC 3MM - C/CE	TG WITH CERAMIC 3MM - C/CE
11157906800	TG WITH CERAMIC 4.5MM - C/CE	
11157918300	TG WITH CERAMIC 6MM - C/CE	TG WITH CERAMIC 6MM - C/CE
	THINNER 5L	
5003423	THINNER 5LT	
5003423	THINNER 5LT 	THINNER 5LT 
	THINNER DILUI/LIMP GL	
	THINNER SINT MULTIUSO 2065L	
	TIMING BELT 420H 150	
11130869810	TIMING PULLEY 24T	TIMING PULLEY 24T
11300860670	TIMING PULLEY 31T	
11130869830	TIMING PULLEY 35T	TIMING PULLEY 35T
	TINTA ACRILICA FOSCO 15LT BRANCO	
	TINTA ALTO BRILHO AMARELO 3,6LT	
	TINTA BRILHANTE AMARELO OURO 3,6LT	
	TINTA DIAPISO VERDE FOLHA C/18LT	
	TINTA ESMALTE SINT VERDE FOLHA 3,6L	
	TINTA ESMALTE SINT. VERDE FOLHA 3,6L	
	TINTA ESMALTE SINTETICO 3,6L	
	TINTA ESMALTE SINTETICO AMARELA 3,6L	
	TINTA ESMALTE SINTETICO AMARELO OURO 3,6LT	
	TINTA ESMALTE SINTETICO VERDE FOLHA	
	TINTA ESMALTE SINTETICO VERDE FOLHA 3,6LT	
	TINTA ESMALTE VERDE FOLHA	
	TINTA GLASU CINZA ESCURO	
	TINTA KIT EPOXI CINZA CLARO 18L	
	TINTA P/PINCEL ATÔMICO AZUL 37ML	
	TINTA P/PINCEL ATOMICO AZUL 37ML PILOT	
	TINTA PRIMER CINZA 18LT	
	TINTA PRIMER SERRALHEIRO CINZA 18LT	
	TINTA SINTETIO VERMELHO 3,6LT	
	TINTA SPRAY 400ML AMARELO MP	
	TINTA SPRAY 400ML PRETO BRILHANTE MP	
	TINTA SPRAY 400ML VERMELHO MP	
5003277	TINTA SPRAY AMARELA	
	TINTA SPRAY AMARELO 400ML	
	TINTA SPRAY AZUL BRILHANTE	
	TINTA SPRAY AZUL DEL REY BRILHANTE 400ML	
	TINTA SPRAY BRANCA	
	TINTA SPRAY BRANCO	
	TINTA SPRAY BRANCO 400ML	
	TINTA SPRAY BRILHANTE VERDE FOLHA 250G MAZA	
	TINTA SPRAY CHEMICOLOR 400ML VERDE ESCURO	
5004014	TINTA SPRAY CINZA MEDIO 400ML	
5004014	TINTA SPRAY CINZA MEDIO 400ML 	TINTA SPRAY CINZA MEDIO 400ML 
	TINTA SPRAY PRETO BRILHANTE	
	TINTA SPRAY PRETO BRILHANTE 400ML	
	TINTA SPRAY USO GERAL AZUL ESCURO 400ML	
	TINTA SPRAY USO GERAL CINZA CLARO 400ML	
	TINTA SPRAY USO GERAL VERDE ESCURO 400ML	
	TINTA SPRAY VERDE 400ML	
	TINTA SPRAY VERMELHO 350ML	
	TINTA SPRAY VERMELHO BRILHANTE 400ML MAZA	
	TINTA VERMELHA 3,6L	
	TINTA WEQ EPOXI MULTIUSO AMARELO 2,88LT	
	TINTAS PRIMERTEX 551 CINZA ESCURO F 18L	
11131550720	TIRA DE CONEXÃO	CONNENTING STRIP
	TOALHEIRO C/ALAVANCA LATERAL T211 WH ORION	
	TOGO MACHO 6MM	
	TOMADA 10A 250V DE EMBUTIR	
	TOMADA ENERB CANAL 2P+T 20A PB BR C/CX	
	TOMADA PAD 2P+T 20A	
	TOMADA RED. H. LONGA PRETA 10A 250V	
	TOMADA SOBREPOR 20A	
	TOMADA STECK N 4509/3P+T	
	TOMADAS 2P+T 20A - 250V	
	TORNEADOR 12" MR-5	
	TORNEIRA BANCADA ALTA CROMADA	
	TORNEIRA BICO MOVER	
	TORNEIRA CROMADA	
	TORNEIRA P/JARDIM	
	TORNEIRA P/LAVABO	
	TORNEIRA PLASTICA 1/4 DE VOLTA	
	TORNEIRA PLASTICA JARDIM1/2" E 3/4"	
	TORNO DE BANCADA MR-5 MARCON	
11302744010	TORRE PINLON SHEFT	TURRET PINLON SHEFT
	TOUCA DESC C/100 BRANCA NOBRE	
	TOUCA DESC TNT BRANCA C/100	
	TOUCA DESC TNT BRANCA C/100 NOBRE	
73	TOUCA DESCARTÁVEL	
	TOUCA DESCARTAVEL ROSA	
11401684000	TRAMA CERAMICA COM PORTA-DEDO	WEFT CERAMIC WITH FINGER HOLDER HS
JYF-E30-07/2	TRAMADOR	WEFT NEEDLE VERTICAL
JYF-E30-07/2	TRAMADOR 	TRAMADOR 
JYF - 26	TRAMADOR 4X80	WEFT NEEDLE
	TRANDUTOR ULTRASSONICO	
	TRANQUETA BICO VIRADO ZLO UNIAO MUNDIAL	
	TRAPO COLORIDO EXTRA 25KG	
	TRAPO COSTURADO COLORIDO MARISSOL PANOS	
5003437	TRAPO P/ LIMPEZA	
JYF-E30-14	TRAVA DA MESA	HANDLE
JYF-F30-03	TRAVA DO PENTE	CLAMP REED
5003345	TRENA 3 METROS	
	TRENA 3M DE BOLSO MOD STARRET KST-12-3ME	
	TRENA 3MX13MM	
5000971	TRENA 5 METRO	
5000971	TRENA 5 METROS	
	TRENA CURTA EMBORRACHADA 18MMX5MT	
	TRENA METALICA BOLSO 3MT	
	TRENA METALICA BOLSO 5MT	
11304635000	TRENÓ	SLEDGE
11157078510	TRENÓ DE COSTAS-E/M	BACK STROKE SLEDGE-E/M
	TRINCHA 2"	
	TRINCHA 395/3 - 1 CERDA GRIS P/ACRILICO	
	TRINCHA 395/5 - 2 CERDA GRIS P/ACRILICO	
	TRINCHA 395/7 - 3 CERDA GRIS P/ACRILICO	
	TRINCHA 4"	
	TRINCHA 700 1"	
	TRINCHA 700 2"	
	TRINCHA 700 3"	
	TRINCHA MEDIA TIGRE 1"	
	TRINCHA MEDIA TIGRE 2"	
	TRINCO	
	TUB.101,6X12X620MM MR	
	TUB.101,6X12X670MM MR	
	TUB.101,6X12X920MM MR	
	TUB.110X5,75X280MM MR	
	TUBETE 101,6X12X1000 - 100 CM	
	TUBETE 101,6X12X1010 - 101 CM	
	TUBETE 101,6X12X1070 - 107 CM	
83	TUBETE 101,6X12X1150 - 115 CM	
5003537	TUBETE 101,6X12X620 - 62 CM	
5003538	TUBETE 101,6X12X670 - 67 CM	
5003384	TUBETE 101,6X12X720 - 72 CM	
5003385	TUBETE 101,6X12X920 - 92 CM	
	TUBETE 110X5,75X280 - 28CM	
	TUBETE DE PAPELÃO	
11303046000	TUBO DE ALOJAMENTO DO FREIO	BRAKE HOUSING TUBE ID35
	TUBO DE PAPELÃO 0 101,6X1000X12,0	
	TUBO DE PAPELÃO 0 101,6X1010X12,0	
	TUBO DE PAPELÃO 0 101,6X1070X12,0	
	TUBO DE PAPELÃO 0 101,6X620X12,0	
	TUBO DE PAPELÃO 0 101,6X670X12,0	
	TUBO DE PAPELÃO 0 101,6X920X12,0	
	TUBO DE PAPELÃO 101,6X12X1010	
	TUBO DE PAPELÃO 101,6X12X1100	
	TUBO DE PAPELÃO 101,6X12X620	
	TUBO DE PAPELÃO 101,6X12X670	
	TUBO DE PAPELÃO 101,6X12X720	
	TUBO DE PAPELÃO 101,6X12X720MM	
	TUBO DE PAPELÃO 101,6X12X920	
	TUBO DE PAPELÃO 110X5,75X280	
	TUBO GALV A0256 4"X6M (3,75) 5580-CL C/COST	
	TUBO GALV.A0096 1.1/2" 316/304	
	TUBO GALV.A0192 3'X6M 5580-CM C/COST	
13.815.02.0.00	TUBO GUIA DE FIO INOX DIAM. 2 MM	INOX YARN GUIDE TUBE DIAM. 2 MM
13.815.04.0.00	TUBO GUIA DE FIO INOX DIAM. 4 MM	INOX YARN GUIDE TUBE DIAM. 4 MM
	TUBO ISOLANTE POLIETILENO BLIDADO 1/2	
	TUBO ISOLANTE POLIETILENO BLIDADO 1/4	
11157108900	TUBO MÉDIO	MIDDLE TUBE 
	TUBO PU-10 (10,0MMX7,0MM) AZUL PLAS	
	TUBO PU-12 (12,0MMX8,0MM) AZUL TRATUS	
	TUBO PU-4 (4,0MMX2,6MM) AZUL SG PLAST	
	TUBO PU-6 (6,0MMX4,0MM) AZUL SG PLAST	
	TUBO PU-8 (8,0MMX5,7MM) AZUL TRATUS	
	TUBO PVC 32	
	TUBO PVC SD 32MMX6M	
	TUBO SOLDAVEL 32MM	
	TUBO TERMOCONTRATIL 1 PT TCN20	
	TUBO TERMOCONTRATIL 2 PT TCN20	
11157050920	TUNER SPRING	TUNER SPRING
11305611000	TUNER SPRING DIA 2.1	
11301193020	TURRET ROLLER S/ASSY	
19030010	UC ALIM DOCE GOIABADA CESTA BASICA	
19030004	UC ALIM REFEICAO - MARMITEX	
19020050	UC MANU  JUNTA TAMPA LATERAL BOMBA INJETORA MB	
19023262	UC MANU  KIT DESCARBONIZAÇÃO 200 ML	
19020760	UC MANU ABRACADEIRA CANO DESCARGA	
19020213	UC MANU ABRACADEIRA FITA 14MM 3/4X1.1/16 ZINCADA	
19020492	UC MANU ABRACADEIRA NYLON	
19020491	UC MANU ABRACADEIRA NYLON COR PRETA	
19020207	UC MANU ADITIVO RADIADOR 11 INORGANICO 1L	
19021611	UC MANU ADITIVO RADIADOR 1L CONCENTRADO ORGANICO ROSA	
19020155	UC MANU ADITIVO RADIADOR CAMINHAO	
19020010	UC MANU ADTIVO	
19020039	UC MANU ADTIVO RADIADOR	
19020565	UC MANU AGULHA P/ TACOGRAFO	
19020336	UC MANU ALAVANCA DO PEDAL DO ACELERADOR	
19020693	UC MANU AMORTECEDOR CABINE	
19020331	UC MANU AMORTECEDOR P/ SUSPENSAO	
19020345	UC MANU ANEIS DE SEGURANÇA	
19023012	UC MANU ANEL DE CORTE PUTZ 1406	
19020044	UC MANU ANEL DE VEDACAO	
19020460	UC MANU ANEL DO CANO INJETOR	
19020063	UC MANU ANEL DO MANCAL	
19020045	UC MANU ANEL TAMPA	
19020463	UC MANU ANEL VEDACAO	
19020461	UC MANU ANEL VEDACAO PORTA BICO INJETOR	
19020464	UC MANU ANEL VEDACAO PORTA INJETOR	
19020462	UC MANU ANTE CAMARA	
19020595	UC MANU ANTENA INTERNA/EXTERNA	
19020685	UC MANU ARANHA CUBO CARRETA	
19020765	UC MANU ARANHA TRAVA EIXO	
19020749	UC MANU ARO CEGO POLLAK	
19020637	UC MANU ARRUELA BUJAO CARTER	
19020684	UC MANU ARRUELA CUBO CARRETA	
19020171	UC MANU ARRUELA LISA 1/2	
19020164	UC MANU ARRUELA LISA 12MM	
19020161	UC MANU ARRUELA LISA 18MM	
19020256	UC MANU ARRUELA LISA 3/16 ZINC	
19022973	UC MANU ARRUELA PRESSAO M12	
19023017	UC MANU ASPERSOR SETORIAL MOD 1612A	
19020520	UC MANU AUT AUX MB 24V 29MT DR ZM409	
19023015	UC MANU AZUL CURVA 50X90	
19021118	UC MANU BALANÇA DA SUSPENSAO	
19022989	UC MANU BARRA CHATA 4X1/4	
19020550	UC MANU BARRA DE DIRECAO	
19020196	UC MANU BARRA ESTABILIZADORA	
19020120	UC MANU BARRA MECANICA 3/8 9.53 MM	
19020251	UC MANU BARRA ROSCADA 1/4 ZB	
19020254	UC MANU BARRA ROSCADA 3/16 ZB	
19022990	UC MANU BARRA ROSQUEADA 1/2 POLIDA	
19020090	UC MANU BATERIA 100AH	
19020097	UC MANU BATERIA 180AH	
19020575	UC MANU BATERIA P/ CAMINHAO	
19020342	UC MANU BICO DE SOPRO	
19021112	UC MANU BOBINA DE IGNICAO	
19020703	UC MANU BOIA TANQUE	
19020068	UC MANU BOINA DE POLIMENTO	
19020634	UC MANU BOJO RETROVISOR 1618	
19020273	UC MANU BOLSA AR MB 2544 AXOR-ST-338	
19020218	UC MANU BOLSA DE SUSPENSAO S/SENSOR	
19020009	UC MANU BOMBA DAGUA	
19020123	UC MANU BOMBA DE TRANSFERENCIA DE OLEO	
19020214	UC MANU BOMBA DE TRANSFERENCIA DE OLEO DISEL ELETRICA 12V 4X	
19021067	UC MANU BOMBA HIDRAULICA	
19020180	UC MANU BORRACHA CUICA	
19020245	UC MANU BORRACHA PRETA C/CAVA P/CINTA 60CM MB	
19020244	UC MANU BORRACHA PRETA PARA CAVALETE TANQUE DIESEL MB	
19020114	UC MANU BROCA  ACO PARA METAL 1/2	
19020258	UC MANU BROCA ACO RAPIDO 9MM	
19020346	UC MANU BRONZINA	
19020110	UC MANU BUCHA DA BARRA ESTABILIZADORA	
19020268	UC MANU BUCHA ESTAB IVECO 150F21/150E21-5801737129	
19020266	UC MANU BUCHA ESTAB IVECO EUROCARGO/TECTOR/C-348179-4	
19020267	UC MANU BUCHA ESTAB IVECO EUROTECH/TRALIS/EU-348055-0	
19020552	UC MANU BUCHA ESTABILIZADORA  TRASEIRA	
19020193	UC MANU BUCHA SUSPENCAO	
19020197	UC MANU BUCHAS P/ TIRANTE SUSPENSAO	
19020353	UC MANU BUJAO CARTER	
19020748	UC MANU BUZINA 2 CORNETAS CROMADAS AR COM SOLENOIDE	
19020810	UC MANU BUZINA CARACOL INDIVIDUAL	
19020337	UC MANU CABO DO ACELERADOR	
19020480	UC MANU CABO FLEX	
19023040	UC MANU CABO FREIO BROSS 150-125 S-E	
19020495	UC MANU CABO PP 7X1,00M	
19020510	UC MANU CABO RODA DIANTEIRO	
19023044	UC MANU CABO VELOCIMETRO XR200-NX150	
19020806	UC MANU CABOS DE VELA	
19020328	UC MANU CAIXA DE DIRECAO	
19020067	UC MANU CAIXA DE TELECOMANDO COM 1 ALAVANCA CURTA	
19020332	UC MANU CAMARA DE AR	
19020100	UC MANU CAMARA FREIO	
19022992	UC MANU CAMARA FREIO 30X30	
19020617	UC MANU CAMISA DO MOTOR	
19022993	UC MANU CAPA 1/2 2 PRENSAGEM	
19023047	UC MANU CAPA CORRENTE BROSS-TORNADO-FALCOM-XRE	
19020562	UC MANU CARCACA TERMOST VW GOL G5/G6/FOX/POLO- 7032-WISA	
19020615	UC MANU CASQUILHO FIXO	
19020784	UC MANU CATALISADOR AXOR 25445	
19020870	UC MANU CATRACA DE FREIO AUTOMATICA	
19020697	UC MANU CATRACA FREIO 28 ESTRIAS	
19020092	UC MANU CERA	
19020121	UC MANU CHAPA FQ SE1008 03,00X1000X2000	
19022892	UC MANU CHAPA OCULOS PUTS 1406 200	
19020453	UC MANU CHAVE ESTRELA	
19020174	UC MANU CHAVE GERAL 100AMP	
19020821	UC MANU CHICOTE CONECTOR 5 VIAS	
19020759	UC MANU CILIDRO DE RODA	
19020014	UC MANU CILINDRO AUXILIAR	
19020008	UC MANU CILINDRO MESTRE DO FREIO	
19020871	UC MANU CILINDRO MESTRE EMBREAGEM	
19020021	UC MANU CINTA 5 TONELADAS	
19020242	UC MANU CINTA DE FERRO P/ TANQUE QUADRADO PLAS 300 LTS MB	
19023043	UC MANU CINTA PLASTICA GRANDE 250MMX3-6	
19020011	UC MANU COLA DE ALTA TEMPERATURA	
19020093	UC MANU COLA VEDA-CHOQUE	
19020219	UC MANU CONECTOR MACHO OD 1/4X1/8 NPT	
19020858	UC MANU CONEXAO FLEXIVEL REDUCAO 1/2X16MM CARRETA	
	UC MANU CONEXÃO RÁPIDA MACHO RETO 6MMX1/2" NPT	
19020341	UC MANU CONEXAO RETA	
	UC MANU CONEXÃO RETA G. 1/4X6	
	UC MANU CONEXÃO RETA G. 1/8X10	
	UC MANU CONEXÃO RETA G. 1/8X12	
	UC MANU CONEXÃO RETA G. 1/8X4	
	UC MANU CONEXÃO RETA MACHO 10MM 1/4	
	UC MANU CONEXÃO RETA MACHO 8MMX1/4 NPT	
	UC MANU CONEXÃO RETA MACHO R 1/2X4MM	
	UC MANU CONEXÃO RETA MACHO R 1/2X8MM	
	UC MANU CONEXÃO RETA MACHO R 1/4X12MM	
	UC MANU CONEXÃO RETA MACHO R 1/4X4MM	
	UC MANU CONEXÃO RETA MACHO R 1/8X6MM	
	UC MANU CONEXÃO RETA MACHO R 1/8X8MM	
19020555	UC MANU CONEXAO UNIAO INSTANTANEA PLASTICA 8MM	
	UC MANU CONEXÕES AZUL TEE UNIÃO 10MM	
19023424	UC MANU CONJUNTO DE TAMPA E BASE EM TEFLON	TEFLON LID AND BASE ASSEMBLY
19020556	UC MANU CONJUNTO ESCOVAS DE MOTOR DE VENTILACAO	
19020355	UC MANU CONTROLADOR DE DIREÇÃO EMPILHADEIRA ELETRICA	
19020056	UC MANU COPO FILTRO RACOR	
19020344	UC MANU CORREIA DIST	
19020349	UC MANU COXIM CAMBIO	
19020348	UC MANU COXIM MOTOR	
19021068	UC MANU COXIM RADIADOR	
19020430	UC MANU CRUZETA CARDAN	
19020683	UC MANU CUBO RODA CARRETA	
19020596	UC MANU CUICA DUPLA 16X24	
19020885	UC MANU CUICA DUPLA DO FREIO	
19020238	UC MANU DEFLETOR RADIADOR MB O500M/O500R/OH1418/OH000596	
19020312	UC MANU DESCARBONIZANTE	
19020719	UC MANU DISCO DE FREIO	
19021094	UC MANU DOCUMENTO INTERNO	
19020564	UC MANU EIXO DA GAVETA	
19020058	UC MANU ELEMENTO BOMBA 9401083503	
19020051	UC MANU ELEMENTO DE BOMBA INJETORA MB	
19020338	UC MANU EMBREAGEM VISCOSA	
19020551	UC MANU EMBUCHAMENTO	
19023045	UC MANU ENGRENAGEM VELOCIMETRO	
19023046	UC MANU ESPELHO FREIO DIANT-BROS 125-150 KS	
19020314	UC MANU ESTICADOR DE CORREIA DENTADA	
19020094	UC MANU ESTOPA	
19020098	UC MANU FAIXA REFLETIVA  AUTOMOTIVA	
19020481	UC MANU FAROL AUXILIAR DE MILHA	
19020230	UC MANU FAROL CROMADO	
19020635	UC MANU FAROL DIANTEIRO 712C/1720	
19021058	UC MANU FECHO CINTO SEGURANCA COM CABO DE ACO	
19025862	UC MANU FILTRO AR COND VW POLO 1.0/1.6-ACP303- TECFIL	
19025858	UC MANU FILTRO AR VW GOL/1.0 MI POWER 8V-ARL6096-TECFIL	
19020101	UC MANU FILTRO DE AR	
19020923	UC MANU FILTRO DE AR CONDICIONADO	
19020102	UC MANU FILTRO DE OLEO	
19020638	UC MANU FILTRO DIESEL	
19020237	UC MANU FILTRO DIESEL MB 1218C/148E-PU-1046X MANN	
19020315	UC MANU FILTRO HIDRAULICO	
19023001	UC MANU FILTRO HIDRAULICO LIEBHERR	
19023038	UC MANU FILTRO OLEO MB 457 AXOR-HU-12110X	
19025860	UC MANU FILTRO OLEO VW GOL 1.0 8V/16V 97/2001-PSL560-B TECFI	
19025863	UC MANU FILTRO OLEO VW UP 1.0 13/AUDI A3/GOL-PSL545-B- TECFI	
19020103	UC MANU FILTRO SEPARADOR DE AGUA	
